Product Name,Description,Price,Currency,Reference_number,URL
Boucles d'oreilles Panthère de Cartier,"Or jaune, grenats tsavorites, onyx""}",6350.0,EUR,CRB8043900,https://www.cartier.com/fr-fr/boucles-d-oreilles-panthere-de-cartier_cod25458910981581987.html#dept=EU_Panthere-de-Cartier
Bracelet Panthère de Cartier,"Or jaune, onyx, émeraudes, diamants""}",51000.0,EUR,CRN6718117,https://www.cartier.com/fr-fr/bracelet-panthere-de-cartier_cod11452292647019505.html#dept=EU_Panthere-de-Cartier
"Boucles d'oreilles Cartier d'Amour, petit modèle","Or gris, diamants""}",1280.0,EUR,CRB8301213,https://www.cartier.com/fr-fr/boucles-d-oreilles-cartier-d-amour-petit-modele_cod25372685655705110.html#dept=EU_Cartier-dAmour
"Collier Cartier d'Amour, grand modèle","Or rose, diamant""}",2400.0,EUR,CRB7215600,https://www.cartier.com/fr-fr/collier-cartier-d-amour-grand-modele_cod1647597346864709.html#dept=EU_Cartier-dAmour
"Boucles d'oreilles Cartier d'Amour, petit modèle","Or jaune, diamants""}",1200.0,EUR,CRB8301215,https://www.cartier.com/fr-fr/boucles-d-oreilles-cartier-d-amour-petit-modele_cod25372685655705114.html#dept=EU_Cartier-dAmour
"Collier Cartier d'Amour, XS","Or jaune, diamant""}",1000.0,EUR,CRB7224517,https://www.cartier.com/fr-fr/collier-cartier-d-amour-xs_cod25458910981581795.html#dept=EU_Cartier-dAmour
"Bracelet Cartier d'Amour, petit modèle","Or jaune, diamant""}",1330.0,EUR,CRB6043300,https://www.cartier.com/fr-fr/bracelet-cartier-d-amour-petit-modele_cod25372685655708099.html#dept=EU_Cartier-dAmour
"Bracelet Cartier d'Amour, XS","Or jaune, diamant""}",860.0,EUR,CRB6045617,https://www.cartier.com/fr-fr/bracelet-cartier-d-amour-xs_cod1647597335360916.html#dept=EU_Cartier-dAmour
"Bracelet Cartier d'Amour, XS","Or gris, diamant""}",930.0,EUR,CRB6045517,https://www.cartier.com/fr-fr/bracelet-cartier-d-amour-xs_cod1647597289175698.html#dept=EU_Cartier-dAmour
"Bracelet Cartier d'Amour, petit modèle","Or gris, diamant""}",1420.0,EUR,CRB6037200,https://www.cartier.com/fr-fr/bracelet-cartier-d-amour-petit-modele_cod25458910981581746.html#dept=EU_Cartier-dAmour
